Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
134,f,r,c,1,13.088,14.414,Car,True
135,m,r,c,0,11.575,1.824002137,HGV,False
135,m,r,c,0,11.575,3.08899954,Car,False
135,m,r,c,0,11.575,3.635003418,Car,False
135,m,r,c,0,11.575,13.322,Car,True
136,m,r,c,0,5.32,1.871004497,Car,False
136,m,r,c,0,5.32,2.137003094,Car,False
136,m,r,c,0,5.32,11.964,Car,True
137,m,r,c,0,1.731,0.0,Artificial,False
137,m,r,c,0,1.731,14.756,Car,True
138,m,r,c,0,1.076,0.0,Artificial,False
138,m,r,c,0,1.076,13.384,Car,True
139,f,r,c,1,12.792,1.435005292,Car,False
139,f,r,c,1,12.792,11.605,Car,True
140,f,r,c,0,14.18,7.877999917,Car,False
140,f,r,c,0,14.18,8.751,Car,True
142,m,r,c,0,5.725,5.724001099,Car,False
142,m,r,c,0,5.725,7.752,Car,True
143,m,r,c,0,7.207,4.273003136,Car,False
143,m,r,c,0,7.207,12.401,Van,True
144,f,r,c,0,19.282,1.93500258,Car,False
144,f,r,c,0,19.282,3.867993504,Car,False
144,f,r,c,0,19.282,1.607001945,Van,False
144,f,r,c,0,19.282,2.307993919,Van,False
144,f,r,c,0,19.282,1.217002049,HGV,False
144,f,r,c,0,19.282,1.871997491,Car,False
144,f,r,c,0,19.282,5.787006189,Car,False
144,f,r,c,0,19.282,12.51,Car,True
145,m,r,c,0,1.326,0.996999984,Car,False
145,m,r,c,0,1.326,4.835,Van,True
146,f,r,c,0,3.432,0.0,Artificial,False
146,f,r,c,0,3.432,18.376,Car,True
147,m,r,c,0,2.355,0.763004069,Car,False
147,m,r,c,0,2.355,7.69,Car,True
148,m,r,c,0,2.106,0.0,Artificial,False
148,m,r,c,0,2.106,9.219,Van,True
150,f,r,c,0,1.95,1.807999407,Van,False
150,f,r,c,0,1.95,17.72,Van,True
151,m,r,c,0,2.839,0.0,Artificial,False
151,m,r,c,0,2.839,17.408,Van,True
152,m,r,c,0,8.923,7.657997851,Van,False
152,m,r,c,0,8.923,19.608,Bus,True
153,f,r,c,0,3.074,1.964996383,Car,False
153,f,r,c,0,3.074,0.84200183,Car,False
153,f,r,c,0,3.074,6.27,Car,True
154,f,r,c,1,10.967,1.99599879,Car,False
154,f,r,c,1,10.967,22.791,Car,True
155,m,r,c,0,13.806,1.886997168,Car,False
155,m,r,c,0,13.806,0.889001414,Car,False
155,m,r,c,0,13.806,1.590999216,Car,False
155,m,r,c,0,13.806,17.815,Car,True
156,m,r,c,1,23.54,0.108008628,Car,False
156,m,r,c,1,23.54,2.292997018,Van,False
156,m,r,c,1,23.54,7.052003592,Car,False
156,m,r,c,1,23.54,9.141,Car,True
157,m,r,c,0,17.331,0.280005281,Car,False
157,m,r,c,0,17.331,1.794005558,Van,False
157,m,r,c,0,17.331,1.108000427,Van,False
157,m,r,c,0,17.331,1.762000099,Car,False
157,m,r,c,0,17.331,2.542995661,Car,False
157,m,r,c,0,17.331,2.558998391,Car,False
157,m,r,c,0,17.331,4.195994139,Car,False
157,m,r,c,0,17.331,6.177,Car,True
159,m,r,c,0,1.825,0.514001195,Car,False
159,m,r,c,0,1.825,7.799,Car,True
160,m,r,c,0,1.809,0.0,Artificial,False
160,m,r,c,0,1.809,16.987,Car,True
162,m,r,c,0,16.068,1.964999159,Car,False
162,m,r,c,0,16.068,2.168002725,Car,False
162,m,r,c,0,16.068,1.169999689,Car,False
162,m,r,c,0,16.068,5.56900017,Car,False
162,m,r,c,0,16.068,2.963995188,Car,False
162,m,r,c,0,16.068,2.028001472,Van,False
162,m,r,c,0,16.068,5.615,Car,True
163,f,r,c,0,2.402,2.183002402,Car,False
163,f,r,c,0,2.402,5.475,Car,True
164,f,r,c,0,10.265,4.414000158,Car,False
164,f,r,c,0,10.265,1.621998847,Car,False
164,f,r,c,0,10.265,2.49600336,Car,False
164,f,r,c,0,10.265,1.684993878,Car,False
164,f,r,c,0,10.265,37.111,Car,True
165,m,r,c,0,3.619,0.0,Artificial,False
165,m,r,c,0,3.619,34.927,Car,True
166,m,r,c,0,2.589,0.0,Artificial,False
166,m,r,c,0,2.589,26.082,Car,True
167,m,r,c,0,5.99,0.0,Artificial,False
167,m,r,c,0,5.99,18.61,Car,True
169,m,r,c,0,2.902,1.511994173,Car,False
169,m,r,c,0,2.902,14.085,Car,True
170,m,r,c,2,17.316,0.949997624,Car,False
170,m,r,c,2,17.316,10.373,Car,True
171,m,r,c,1,20.639,0.0,Artificial,False
171,m,r,c,1,20.639,5.974,Car,True
172,m,r,c,1,25.864,12.26199344,Car,False
172,m,r,c,1,25.864,1.731996238,Car,False
172,m,r,c,1,25.864,9.343001788,Car,False
172,m,r,c,1,25.864,14.788,Car,True
174,m,r,c,0,6.958,0.887998362,Car,False
174,m,r,c,0,6.958,0.873994455,Car,False
174,m,r,c,0,6.958,15.443,Car,True
175,m,r,c,0,11.419,6.411002,Car,False
175,m,r,c,0,11.419,12.763,Car,True
176,f,r,c,1,13.463,3.634007648,Car,False
176,f,r,c,1,13.463,7.801992242,Car,False
176,f,r,c,1,13.463,16.21,Car,True
178,f,r,c,1,10.031,7.521004026,Car,False
178,f,r,c,1,10.031,15.461,HGV,True
179,f,r,c,0,12.589,6.147997995,Car,False
179,f,r,c,0,12.589,11.53,HGV,True
180,m,r,c,0,6.49,0.982996076,Car,False
180,m,r,c,0,6.49,0.936003774,MTW,False
180,m,r,c,0,6.49,4.276000504,Car,False
180,m,r,c,0,6.49,12.902,Van,True
181,m,r,c,0,16.942,1.528999954,Car,False
181,m,r,c,0,16.942,1.418992504,Car,False
181,m,r,c,0,16.942,2.933005616,Car,False
181,m,r,c,0,16.942,1.622994617,Car,False
181,m,r,c,0,16.942,3.931008652,Car,False
181,m,r,c,0,16.942,4.869006743,Car,False
181,m,r,c,0,16.942,20.703,Car,True
182,m,r,c,0,1.513,0.0,Artificial,False
182,m,r,c,0,1.513,10.438,Bus,True
184,f,r,c,0,13.837,6.163004954,Car,False
184,f,r,c,0,13.837,2.746002004,Car,False
184,f,r,c,0,13.837,1.638001576,Car,False
184,f,r,c,0,13.837,2.121996135,Car,False
184,f,r,c,0,13.837,13.043,Car,True
186,m,r,c,0,9.797,3.886000608,Car,False
186,m,r,c,0,9.797,0.998003036,Car,False
186,m,r,c,0,9.797,18.144,Disturbance,True
