Vehicle,Gender,Direction,Type,Queue,Waiting time [s],Gap,Vehicle type,Accepted
214,m,r,c,0,6.786,0.205000659,Car,False
218,m,r,c,0,3.373,0.0,Artificial,False
219,m,r,c,2,10.655,2.566997503,Car,False
220,m,r,c,1,12.371,5.179000273,Car,False
221,f,r,c,0,11.996,2.30099613,Car,False
222,m,r,c,0,1.435,0.0,Artificial,False
223,m,r,c,0,1.794,0.0,Artificial,False
224,m,r,c,0,2.528,1.272003521,Car,False
225,m,r,c,0,1.809,0.0,Artificial,False
226,f,r,c,0,2.558,0.0,Artificial,False
227,m,r,c,0,10.436,2.191994508,Car,False
228,m,r,c,0,2.761,1.615001057,Van,False
229,m,r,c,0,12.278,2.628996764,Car,False
230,f,r,c,0,3.276,0.0,Artificial,False
231,f,r,c,0,11.513,0.0,Artificial,False
232,m,r,c,3,34.788,3.798000683,Van,False
233,f,r,c,2,38.782,3.321999684,Van,False
234,f,r,c,1,39.951,6.006002426,Car,False
235,f,r,c,0,28.626,3.992997855,Car,False
238,m,r,c,0,1.934,0.209003856,Car,False
239,m,r,c,0,10.687,1.565997099,Car,False
241,f,r,c,1,34.774,1.144001802,Car,False
242,m,r,c,0,10.062,5.850008503,Car,False
243,m,r,c,1,15.21,3.276003152,Van,False
244,f,r,c,0,3.432,2.716996689,Car,False
245,m,r,c,0,7.113,0.0,Artificial,False
246,m,r,c,0,3.135,0.718999078,Car,False
248,f,r,c,0,4.399,1.917994022,Car,False
249,m,r,c,0,4.493,1.999006217,Car,False
250,m,r,c,0,2.013,0.0,Artificial,False
252,m,r,c,0,6.318,2.685001289,Car,False
253,f,r,c,0,4.041,0.0,Artificial,False
254,m,r,c,0,1.482,0.0,Artificial,False
255,m,r,c,0,7.66,1.828005334,Car,False
256,m,r,c,0,0.92,0.0,Artificial,False
257,m,r,c,0,1.778,0.0,Artificial,False
258,m,r,c,2,22.464,1.763005927,Car,False
259,m,r,c,1,32.401,2.323996648,Van,False
260,f,r,c,0,32.245,6.708000228,Van,False
261,m,r,c,0,17.035,7.581994683,Car,False
262,m,r,c,0,1.17,0.0,Artificial,False
263,m,r,c,0,2.527,0.0,Artificial,False
264,m,r,c,0,1.716,0.0,Artificial,False
265,m,r,c,0,1.389,0.0,Artificial,False
266,m,r,c,0,3.292,0.0,Artificial,False
267,m,r,c,0,5.257,0.0,Artificial,False
268,f,r,c,0,13.9,2.401998639,Car,False
